Trope;Frequency
HeroOfAnotherStory;128
ItCanThink;128
MurderTheHypotenuse;128
OnlyOneName;128
SliceOfLife;128
UnSpokenPlanGuarantee;128
DontExplainTheJoke;127
DragonInChief;127
HollywoodDarkness;127
KilledOffscreen;127
MarketBasedTitle;127
MonumentalDamage;127
NotSoAboveItAll;127
POVCam;127
BrainlessBeauty;126
BuryYourGays;126
DramaticGunCock;126
DumbMuscle;126
EarlyBirdCameo;126
EvilAllAlong;126
FriendToAllChildren;126
FunnyForeigner;126
HollywoodTactics;126
InsufferableGenius;126
NaiveNewcomer;126
NightmareSequence;126
PrisonRape;126
SinisterMinister;126
UnstoppableRage;126
WhyDidItHaveToBeSnakes;126
ArtisticLicenseGunSafety;125
BringMyBrownPants;125
CrucifiedHeroShot;125
JustInTime;125
MushroomSamba;125
RecklessGunUsage;125
SacrificialLamb;125
VerbalTic;125
WeaksauceWeakness;125
BMovie;124
ChronicBackstabbingDisorder;124
FieryRedhead;124
NobleDemon;124
PrettyLittleHeadshots;124
ScrewTheMoneyIHaveRules;124
TimeTravel;124
BavarianFireDrill;123
ChainsawGood;123
ClearMyName;123
EatingTheEyeCandy;123
FridgeHorror;123
FromNobodyToNightmare;123
SassyBlackWoman;123
SoftGlass;123
Troll;123
VillainHasAPoint;123
VillainOpeningScene;123
VomitDiscretionShot;123
ApocalypticLog;122
BuriedAlive;122
EmpathicEnvironment;122
EyepatchOfPower;122
FatalFamilyPhoto;122
HairOfGoldHeartOfGold;122
InspectorJavert;122
SmokingIsCool;122
SuspiciouslySimilarSubstitute;122
AIIsACrapshoot;121
BadBadActing;121
DropTheHammer;121
EvilVersusEvil;121
GenderBlenderName;121
ItsAllMyFault;121
JitterCam;121
SelfMadeOrphan;121
TheSpeechless;121
AwfulWeddedLife;120
GentleGiant;120
Invoked;120
MinimalistCast;120
RageBreakingPoint;120
SchmuckBait;120
ZigZagged;120
BenevolentBoss;119
BlandNameProduct;119
LeftTheBackgroundMusicOn;119
MenAreTheExpendableGender;119
NoSocialSkills;119
PoweredArmor;119
ReplacementGoldfish;119
TheManBehindTheMan;119
TheMistress;119
TheUnfavorite;119
ThrowingYourSwordAlwaysWorks;119
BrainwashedAndCrazy;118
DutchAngle;118
GiantMook;118
GoshdangItToHeck;118
PlayingGertrude;118
TheBigDamnKiss;118
UglyGuyHotWife;118
UpperClassTwit;118
VictoriasSecretCompartment;118
BadassInANiceSuit;117
CanNotSpitItOut;117
ChekhovsGag;117
MemeticMutation;117
MuggedForDisguise;117
RealityHasNoSubtitles;117
ShrinkingViolet;117
StableTimeLoop;117
TheLeader;117
VideoCredits;117
DeathByChildbirth;116
DownerBeginning;116
EngineeredPublicConfession;116
FeetFirstIntroduction;116
IncurableCoughOfDeath;116
MalevolentMaskedMen;116
RandomEventsPlot;116
SherlockScan;116
SophisticatedAsHell;116
TragicKeepsake;116
AdaptationalWimp;115
AnnoyingYoungerSibling;115
CanonDiscontinuity;115
DuelToTheDeath;115
HighClassGlass;115
IHaveNoSon;115
IntergenerationalFriendship;115
OminousLatinChanting;115
UrExample;115
AmbiguouslyBi;114
BungledSuicide;114
LaughablyEvil;114
MisplacedWildlife;114
MonsterClown;114
SuperSoldier;114
SuperWindowJump;114
TheXOfY;114
ThrowItIn;114
UnexplainedRecovery;114
WouldntHurtAChild;114
ATasteOfTheLash;113
BigShutUp;113
DeadStarWalking;113
GoodGirlsAvoidAbortion;113
HoYay;113
LukeIAmYourFather;113
NightmareFace;113
SequelEscalation;113
SirNotAppearingInThisTrailer;113
SuicideByCop;113
BadassBeard;112
DancePartyEnding;112
DarkIsEvil;112
DescriptionCut;112
FriendlyEnemy;112
GenreThrowback;112
GodzillaThreshold;112
ItWorksBetterWithBullets;112
KilledOffForReal;112
KillTheCutie;112
MissionControl;112
MyCarHatesMe;112
PlayingWithATrope;112
SpoiledBrat;112
ArtisticLicense;111
BigLippedAlligatorMoment;111
ButForMeItWasTuesday;111
DudeNotFunny;111
EiffelTowerEffect;111
EpicMovie;111
HardWorkMontage;111
HollywoodNerd;111
HotBlooded;111
LiteralMinded;111
MistakenForCheating;111
MundaneUtility;111
NotUsingTheZWord;111
StartOfDarkness;111
TheFundamentalist;111
TraumaCongaLine;111
AdamWesting;110
BreadEggsMilkSquick;110
ControlFreak;110
ILied;110
SameLanguageDub;110
SpitTake;110
TheWorfEffect;110
TrademarkFavoriteFood;110
VigilanteMan;110
